,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
231,Avera,US,2020-02-22 20:19:00,33.19,-82.53,55.99,30,1,1.21,clear sky,0.0,0.0
232,Victor Harbor,AU,2020-02-22 20:19:33,-35.57,138.62,64.99,71,0,5.82,clear sky,0.0,0.0
233,Half Moon Bay,US,2020-02-22 20:19:16,37.46,-122.43,69.8,62,40,16.11,scattered clouds,0.0,0.0
234,Hambantota,LK,2020-02-22 20:18:37,6.12,81.12,79.25,83,100,22.68,overcast clouds,0.0,0.0
235,Kununurra,AU,2020-02-22 20:19:34,-15.77,128.73,75.2,88,58,1.12,broken clouds,0.0,0.0
236,Talas,TR,2020-02-22 20:19:34,38.69,35.55,39.2,86,75,2.24,broken clouds,0.0,0.0
237,Okhotsk,RU,2020-02-22 20:19:34,59.38,143.3,-12.35,100,87,3.8,overcast clouds,0.0,0.0
238,Los Llanos De Aridane,ES,2020-02-22 20:19:35,28.66,-17.92,68.0,52,0,12.75,clear sky,0.0,0.0
239,Kaoma,ZM,2020-02-22 20:19:35,-14.78,24.8,68.31,89,83,2.35,broken clouds,0.0,0.0
240,Yaroslavskiy,RU,2020-02-22 20:19:35,44.17,132.21,15.22,75,0,10.87,clear sky,0.0,0.0
241,Boysun,UZ,2020-02-22 20:19:35,38.21,67.2,48.99,60,30,4.47,scattered clouds,0.0,0.0
242,Sao Filipe,CV,2020-02-22 20:18:25,14.9,-24.5,67.42,82,84,20.85,broken clouds,0.0,0.0
243,Nuqui,CO,2020-02-22 20:19:36,5.71,-77.27,87.8,66,40,9.17,haze,0.0,0.0
244,Shelburne,CA,2020-02-22 20:17:27,44.08,-80.2,41.0,55,1,11.41,clear sky,0.0,0.0
245,Catamarca,AR,2020-02-22 20:15:35,-28.47,-65.79,60.01,76,98,1.01,overcast clouds,0.0,0.0
246,Sterling,US,2020-02-22 20:19:36,39.01,-77.43,55.99,18,1,9.17,clear sky,0.0,0.0
247,Paita,PE,2020-02-22 20:19:37,-5.09,-81.11,62.6,100,40,12.75,scattered clouds,0.0,0.0
248,Talnakh,RU,2020-02-22 20:17:03,69.49,88.4,10.4,85,100,22.37,light snow,0.0,0.0
249,East London,ZA,2020-02-22 20:18:17,-33.02,27.91,72.21,81,100,22.64,light rain,1.5,0.0
250,Okakarara,NA,2020-02-22 20:19:37,-20.58,17.43,71.37,72,95,4.54,light rain,0.75,0.0
251,Saint-Philippe,RE,2020-02-22 20:18:38,-21.36,55.77,75.2,73,100,6.93,light rain,0.31,0.0
252,Cidreira,BR,2020-02-22 20:19:38,-30.18,-50.21,70.93,67,15,17.34,light rain,0.25,0.0
253,Chitradurga,IN,2020-02-22 20:19:38,14.23,76.4,68.05,76,0,6.02,clear sky,0.0,0.0
254,Yasugi,JP,2020-02-22 20:19:38,35.43,133.25,44.6,52,75,13.87,broken clouds,0.0,0.0
255,Middelkerke,BE,2020-02-22 20:19:38,51.16,2.84,51.01,87,75,21.92,broken clouds,0.0,0.0
256,Kalat,PK,2020-02-22 20:19:38,29.02,66.59,46.56,44,0,4.52,clear sky,0.0,0.0
257,Kavaratti,IN,2020-02-22 20:19:39,10.57,72.64,81.79,76,67,8.39,broken clouds,0.0,0.0
258,Tiarei,PF,2020-02-22 20:19:28,-17.53,-149.33,86.0,70,20,12.75,few clouds,0.0,0.0
259,Pirgos,GR,2020-02-22 20:19:39,35.12,25.72,53.6,58,40,20.8,scattered clouds,0.0,0.0
260,Bichura,RU,2020-02-22 20:19:40,50.59,107.6,9.54,87,100,1.1,overcast clouds,0.0,0.0
261,Belyy Yar,RU,2020-02-22 20:19:40,53.6,91.39,19.4,85,100,6.71,overcast clouds,0.0,0.0
262,Podyuga,RU,2020-02-22 20:19:40,61.09,40.86,33.3,85,100,20.18,overcast clouds,0.0,0.0
263,Pacific Grove,US,2020-02-22 20:19:07,36.62,-121.92,64.99,72,75,10.29,broken clouds,0.0,0.0
264,Saint Stephen,GB,2020-02-22 20:19:40,50.33,-4.9,50.0,93,40,14.99,scattered clouds,0.0,0.0
265,Eydhafushi,MV,2020-02-22 20:19:40,5.1,73.07,81.82,81,97,13.02,light rain,1.69,0.0
266,North Bend,US,2020-02-22 20:19:02,43.41,-124.22,54.0,58,1,4.54,clear sky,0.0,0.0
267,Ati,TD,2020-02-22 20:19:41,13.22,18.34,77.52,9,0,12.86,clear sky,0.0,0.0
268,Boyolangu,ID,2020-02-22 20:19:41,-8.12,111.89,73.51,91,40,0.56,light rain,0.69,0.0
269,Aloleng,PH,2020-02-22 20:19:41,16.13,119.78,66.4,70,33,4.68,scattered clouds,0.0,0.0
270,Constitucion,CL,2020-02-22 20:16:05,-35.33,-72.42,62.53,72,0,6.11,clear sky,0.0,0.0
271,Rawson,AR,2020-02-22 20:19:42,-43.3,-65.1,72.46,42,0,24.87,clear sky,0.0,0.0
272,Vila Franca Do Campo,PT,2020-02-22 20:17:08,37.72,-25.43,57.2,76,20,4.7,few clouds,0.0,0.0
273,Homer,US,2020-02-22 20:15:13,59.64,-151.55,21.2,85,90,18.34,heavy snow,0.0,0.0
274,Acapulco,MX,2020-02-22 20:19:42,16.86,-99.89,86.0,70,5,8.05,clear sky,0.0,0.0
275,Tura,IN,2020-02-22 20:19:43,25.52,90.22,67.06,47,29,4.07,scattered clouds,0.0,0.0
276,Fare,PF,2020-02-22 20:19:43,-16.7,-151.02,82.36,73,22,9.53,light rain,0.56,0.0
277,Ilanskiy,RU,2020-02-22 20:19:43,56.24,96.06,12.34,96,96,2.86,overcast clouds,0.0,0.0
278,Vila Velha,BR,2020-02-22 20:15:35,-20.33,-40.29,80.6,78,75,12.75,broken clouds,0.0,0.0
279,La Ronge,CA,2020-02-22 20:19:44,55.1,-105.28,37.4,51,90,10.29,overcast clouds,0.0,0.0
280,Vaitape,PF,2020-02-22 20:19:44,-16.52,-151.75,82.04,74,49,9.24,light rain,0.63,0.0
281,Lata,PT,2020-02-22 20:17:46,40.16,-8.33,57.0,82,0,3.36,clear sky,0.0,0.0
282,Luderitz,NA,2020-02-22 20:19:44,-26.65,15.16,66.2,77,0,18.34,clear sky,0.0,0.0
283,Kudahuvadhoo,MV,2020-02-22 20:19:44,2.67,72.89,82.72,75,100,9.08,overcast clouds,0.0,0.0
284,Port Blair,IN,2020-02-22 20:19:45,11.67,92.75,81.28,74,51,12.08,broken clouds,0.0,0.0
285,Luwuk,ID,2020-02-22 20:19:45,-0.95,122.79,81.88,77,37,12.53,scattered clouds,0.0,0.0
286,Ciego De Avila,CU,2020-02-22 20:19:45,21.84,-78.76,76.26,62,28,17.6,light rain,0.31,0.0
287,Waingapu,ID,2020-02-22 20:19:45,-9.66,120.26,82.98,78,100,20.67,light rain,0.5,0.0
288,Puerto Madryn,AR,2020-02-22 20:19:45,-42.77,-65.04,82.9,15,0,27.98,clear sky,0.0,0.0
289,Hanstholm,DK,2020-02-22 20:19:46,57.12,8.62,42.01,88,97,5.99,light rain,0.5,0.0
290,Mount Gambier,AU,2020-02-22 20:16:53,-37.83,140.77,48.2,93,3,3.33,clear sky,0.0,0.0
291,Kudat,MY,2020-02-22 20:19:46,6.88,116.85,80.6,83,75,8.05,broken clouds,0.0,0.0
292,Ruski Krstur,RS,2020-02-22 20:19:46,45.56,19.42,39.0,74,83,10.29,broken clouds,0.0,0.0
293,Chara,RU,2020-02-22 20:19:46,56.91,118.26,0.99,85,100,0.78,overcast clouds,0.0,0.0
294,Talanga,HN,2020-02-22 20:19:47,14.4,-87.08,86.0,39,40,11.41,scattered clouds,0.0,0.0
295,Maridi,SS,2020-02-22 20:19:47,4.92,29.47,81.45,33,92,4.92,overcast clouds,0.0,0.0
296,Tuatapere,NZ,2020-02-22 20:16:40,-46.13,167.68,55.99,79,32,5.99,scattered clouds,0.0,0.0
297,Geraldton,AU,2020-02-22 20:16:25,-28.77,114.6,69.8,94,0,10.29,clear sky,0.0,0.0
298,Rosetta,EG,2020-02-22 20:19:16,31.4,30.42,59.0,58,40,5.82,scattered clouds,0.0,0.0
299,Akdepe,TM,2020-02-22 20:18:47,42.06,59.38,42.8,75,75,2.24,broken clouds,0.0,0.0
300,Urumqi,CN,2020-02-22 20:19:48,43.8,87.6,21.2,85,35,4.47,scattered clouds,0.0,0.0
301,Hovd,MN,2020-02-22 20:19:48,48.01,91.64,17.78,64,100,2.91,overcast clouds,0.0,0.0
302,Camargo,MX,2020-02-22 20:17:44,27.67,-105.17,75.65,27,100,6.13,overcast clouds,0.0,0.0
303,Akyab,MM,2020-02-22 20:19:48,20.15,92.9,72.45,49,0,7.96,clear sky,0.0,0.0
304,Shingu,JP,2020-02-22 20:19:49,33.73,135.98,49.55,62,0,20.4,clear sky,0.0,0.0
305,Banos,EC,2020-02-22 20:19:49,-1.4,-78.42,73.4,59,90,12.75,shower rain,0.0,0.0
306,Srivardhan,IN,2020-02-22 20:19:49,18.03,73.02,75.9,49,0,4.5,clear sky,0.0,0.0
307,Vestmanna,FO,2020-02-22 20:19:49,62.16,-7.17,35.6,69,45,8.05,scattered clouds,0.0,0.0
308,Osoyoos,CA,2020-02-22 20:19:50,49.03,-119.45,44.6,60,75,11.41,shower rain,0.0,0.0
309,Laguna,US,2020-02-22 20:19:39,38.42,-121.42,72.0,34,1,3.36,clear sky,0.0,0.0
310,Jiuquan,CN,2020-02-22 20:19:50,39.74,98.52,31.78,19,0,4.97,clear sky,0.0,0.0
311,Port Macquarie,AU,2020-02-22 20:19:51,-31.43,152.92,66.2,100,75,4.7,broken clouds,0.0,0.0
312,Yar-Sale,RU,2020-02-22 20:19:51,66.83,70.83,20.55,90,93,18.79,overcast clouds,0.0,0.0
313,Springbok,ZA,2020-02-22 20:19:51,-29.66,17.89,61.56,62,0,11.54,clear sky,0.0,0.0
314,Evensk,RU,2020-02-22 20:19:51,61.95,159.23,-13.77,77,95,4.23,overcast clouds,0.0,0.0
315,Ayolas,PY,2020-02-22 20:19:51,-27.4,-56.9,76.32,35,0,10.31,clear sky,0.0,0.0
316,Marrakesh,MA,2020-02-22 20:19:52,31.63,-8.01,69.8,22,20,5.82,few clouds,0.0,0.0
317,Aragarcas,BR,2020-02-22 20:19:52,-15.9,-52.25,84.2,70,40,2.24,scattered clouds,0.0,0.0
318,Hami,CN,2020-02-22 20:15:51,42.8,93.45,29.79,53,9,4.85,clear sky,0.0,0.0
319,Havre-Saint-Pierre,CA,2020-02-22 20:19:53,50.23,-63.6,28.4,74,75,18.34,broken clouds,0.0,0.0
320,Sibolga,ID,2020-02-22 20:19:53,1.74,98.78,70.72,89,0,3.42,clear sky,0.0,0.0
321,Yokadouma,CM,2020-02-22 20:19:53,3.52,15.05,73.22,55,1,1.36,clear sky,0.0,0.0
322,Hamilton,US,2020-02-22 20:19:22,39.18,-84.53,50.0,23,1,12.75,clear sky,0.0,0.0
323,Najran,SA,2020-02-22 20:19:53,17.49,44.13,75.2,29,12,1.97,few clouds,0.0,0.0
324,Sur,OM,2020-02-22 20:19:54,22.57,59.53,68.61,82,96,1.74,overcast clouds,0.0,0.0
325,Zhangye,CN,2020-02-22 20:19:54,38.93,100.45,36.93,25,0,7.76,clear sky,0.0,0.0
326,Zapolyarnyy,RU,2020-02-22 20:19:54,69.42,30.81,33.8,74,75,25.28,broken clouds,0.0,0.0
327,Eirunepe,BR,2020-02-22 20:19:54,-6.66,-69.87,80.06,92,100,4.79,moderate rain,6.25,0.0
328,Preetz,DE,2020-02-22 20:19:54,54.23,10.28,46.99,70,75,26.4,broken clouds,0.0,0.0
329,Nemuro,JP,2020-02-22 20:19:55,43.32,145.57,32.99,77,1,24.58,clear sky,0.0,0.0
330,Osmena,PH,2020-02-22 20:19:55,10.52,119.93,79.07,78,18,25.23,light rain,0.25,0.0
331,Kurilsk,RU,2020-02-22 20:19:55,45.23,147.88,33.1,99,100,12.86,moderate rain,4.63,0.0
332,Halifax,CA,2020-02-22 20:19:35,44.65,-63.57,39.99,55,75,13.87,broken clouds,0.0,0.0
333,Lebu,CL,2020-02-22 20:16:11,-37.62,-73.65,66.42,62,15,5.06,few clouds,0.0,0.0
334,Klaksvik,FO,2020-02-22 20:19:29,62.23,-6.59,35.6,69,96,8.05,overcast clouds,0.0,0.0
335,Tromso,NO,2020-02-22 20:19:56,69.65,18.96,37.4,80,75,40.26,shower rain,0.0,0.0
336,Pemangkat,ID,2020-02-22 20:19:56,1.17,108.97,75.65,92,100,9.8,overcast clouds,0.0,0.0
337,Kachug,RU,2020-02-22 20:19:56,53.96,105.88,9.18,93,97,4.41,overcast clouds,0.0,0.0
338,Ous,RU,2020-02-22 20:19:56,60.91,61.52,20.16,92,0,7.83,clear sky,0.0,0.0
339,Bitkine,TD,2020-02-22 20:17:06,11.98,18.21,77.83,10,0,9.26,clear sky,0.0,0.0
340,Riachao Das Neves,BR,2020-02-22 20:19:57,-11.75,-44.91,76.53,89,85,2.57,light rain,1.88,0.0
341,Banda Aceh,ID,2020-02-22 20:17:50,5.56,95.32,72.75,91,0,4.41,light rain,0.19,0.0
342,Nkhotakota,MW,2020-02-22 20:19:57,-12.93,34.3,81.45,71,57,3.67,broken clouds,0.0,0.0
343,Dolzhanskaya,RU,2020-02-22 20:19:57,46.63,37.8,37.62,93,97,6.33,overcast clouds,0.0,0.0
344,Stromness,GB,2020-02-22 20:19:58,58.97,-3.3,39.2,86,100,36.91,light rain,0.0,0.0
345,Selma,US,2020-02-22 20:19:58,36.57,-119.61,66.0,82,75,3.85,broken clouds,0.0,0.0
346,Susanville,US,2020-02-22 20:19:58,40.42,-120.65,55.99,22,1,4.7,clear sky,0.0,0.0
347,Hobyo,SO,2020-02-22 20:19:58,5.35,48.53,76.69,77,75,14.9,broken clouds,0.0,0.0
348,Beringovskiy,RU,2020-02-22 20:19:58,63.05,179.32,-9.99,92,18,5.1,few clouds,0.0,0.0
349,San Policarpo,PH,2020-02-22 20:19:31,12.18,125.51,77.22,84,33,12.41,light rain,0.56,0.0
350,Kijang,KR,2020-02-22 20:17:07,35.24,129.21,35.6,51,0,5.82,clear sky,0.0,0.0
351,Saint George,US,2020-02-22 20:18:37,37.1,-113.58,62.6,33,90,11.41,overcast clouds,0.0,0.0
352,Kuala Terengganu,MY,2020-02-22 20:19:59,5.33,103.14,80.6,83,40,8.05,light rain,0.0,0.0
353,Bogo,PH,2020-02-22 20:19:59,11.05,124.01,71.01,92,2,10.25,clear sky,0.0,0.0
354,Banjar,ID,2020-02-22 20:20:00,-8.19,114.97,82.35,68,48,2.98,scattered clouds,0.0,0.0
355,Ust-Tsilma,RU,2020-02-22 20:20:00,65.44,52.15,32.95,83,99,13.4,overcast clouds,0.0,0.0
356,Bandarbeyla,SO,2020-02-22 20:20:00,9.49,50.81,76.86,78,25,17.81,scattered clouds,0.0,0.0
357,Eureka,US,2020-02-22 20:15:02,40.8,-124.16,52.0,81,90,5.08,overcast clouds,0.0,0.0
358,Bjerkvik,NO,2020-02-22 20:20:01,68.56,17.52,37.4,96,90,21.92,light rain,0.0,0.0
359,Vao,NC,2020-02-22 20:20:01,-22.67,167.48,79.23,73,0,10.69,clear sky,0.0,0.0
360,Tezu,IN,2020-02-22 20:20:01,27.92,96.17,63.0,42,100,2.01,overcast clouds,0.0,0.0
361,Alofi,NU,2020-02-22 20:20:01,-19.06,-169.92,82.4,83,75,8.05,broken clouds,0.0,0.0
362,Kutum,SD,2020-02-22 20:20:01,14.2,24.67,58.91,17,23,5.32,few clouds,0.0,0.0
363,Lompoc,US,2020-02-22 20:15:43,34.64,-120.46,64.99,59,20,10.29,few clouds,0.0,0.0
364,Linjiang,CN,2020-02-22 20:20:02,41.81,126.91,3.94,99,87,4.41,overcast clouds,0.0,0.0
365,Pau Dos Ferros,BR,2020-02-22 20:20:02,-6.11,-38.21,78.94,82,100,7.18,light rain,0.63,0.0
366,Asfi,MA,2020-02-22 20:20:02,32.3,-9.24,58.82,63,0,9.13,clear sky,0.0,0.0
367,Vanderhoof,CA,2020-02-22 20:20:02,54.02,-124.02,35.06,57,0,7.58,clear sky,0.0,0.0
368,Vostok,RU,2020-02-22 20:20:03,46.49,135.88,8.71,96,100,5.01,light snow,0.0,0.69
369,Ponta Delgada,PT,2020-02-22 20:18:10,37.73,-25.67,57.2,76,20,4.7,few clouds,0.0,0.0
370,Cayenne,GF,2020-02-22 20:18:03,4.93,-52.33,82.4,78,75,10.29,broken clouds,0.0,0.0
371,Saint-Georges,GD,2020-02-22 20:19:13,12.06,-61.75,84.2,66,75,11.41,broken clouds,0.0,0.0
372,Chizhou,CN,2020-02-22 20:20:04,30.66,117.48,47.43,72,74,1.81,broken clouds,0.0,0.0
373,Waddan,LY,2020-02-22 20:20:04,29.16,16.14,55.47,46,0,9.44,clear sky,0.0,0.0
374,Sorkjosen,NO,2020-02-22 20:20:04,69.8,20.93,35.67,70,90,15.32,light snow,0.0,0.31
375,Batticaloa,LK,2020-02-22 20:20:05,7.71,81.69,73.63,94,69,2.37,light rain,0.19,0.0
376,Cabedelo,BR,2020-02-22 20:20:05,-6.98,-34.83,84.2,79,20,10.29,few clouds,0.0,0.0
377,Mackay,AU,2020-02-22 20:20:05,-21.15,149.2,78.8,88,90,14.99,overcast clouds,0.0,0.0
378,Valley City,US,2020-02-22 20:20:05,46.92,-98.0,39.2,74,1,11.41,clear sky,0.0,0.0
379,Fort-Shevchenko,KZ,2020-02-22 20:20:05,44.51,50.26,38.53,71,100,10.38,overcast clouds,0.0,0.0
380,Las Matas De Farfan,DO,2020-02-22 20:20:06,18.87,-71.52,79.63,50,36,9.53,scattered clouds,0.0,0.0
381,Bilma,NE,2020-02-22 20:20:06,18.69,12.92,71.37,14,100,13.78,overcast clouds,0.0,0.0
382,Barguzin,RU,2020-02-22 20:20:06,53.62,109.62,14.14,96,100,2.48,light snow,0.0,0.75
383,Calabozo,VE,2020-02-22 20:20:06,8.92,-67.43,97.07,29,100,4.97,overcast clouds,0.0,0.0
384,Saint-Joseph,RE,2020-02-22 20:20:07,-21.37,55.62,75.2,73,100,6.93,overcast clouds,0.0,0.0
385,Lebedyn,UA,2020-02-22 20:20:07,50.59,34.48,31.37,90,75,7.47,broken clouds,0.0,0.0
386,Bengkulu,ID,2020-02-22 20:18:31,-3.8,102.27,73.42,89,2,4.56,clear sky,0.0,0.0
387,Concordia,AR,2020-02-22 20:20:07,-31.39,-58.02,75.2,50,0,11.41,clear sky,0.0,0.0
388,Beyneu,KZ,2020-02-22 20:20:07,45.32,55.2,34.41,78,61,9.89,broken clouds,0.0,0.0
389,Meulaboh,ID,2020-02-22 20:20:08,4.14,96.13,83.14,69,93,5.21,light rain,1.13,0.0
390,Caluquembe,AO,2020-02-22 20:20:08,-13.78,14.68,65.39,83,94,5.3,overcast clouds,0.0,0.0
391,Macheng,CN,2020-02-22 20:20:08,31.18,115.03,52.97,58,73,3.65,broken clouds,0.0,0.0
392,Birin,NP,2020-02-22 20:20:08,26.89,88.07,45.75,80,0,5.88,clear sky,0.0,0.0
393,Nanakuli,US,2020-02-22 20:20:08,21.39,-158.15,77.0,88,40,3.36,scattered clouds,0.0,0.0
394,Henties Bay,NA,2020-02-22 20:20:09,-22.12,14.28,64.99,87,0,1.99,clear sky,0.0,0.0
395,El Rusio,HN,2020-02-22 20:20:09,14.47,-86.37,86.41,30,0,11.1,clear sky,0.0,0.0
396,Reconquista,AR,2020-02-22 20:20:09,-29.15,-59.65,79.81,27,0,9.42,clear sky,0.0,0.0
397,Salalah,OM,2020-02-22 20:20:09,17.02,54.09,75.2,73,20,3.36,few clouds,0.0,0.0
398,Ostersund,SE,2020-02-22 20:20:09,63.18,14.64,33.01,67,67,11.41,broken clouds,0.0,0.0
399,Twin Falls,US,2020-02-22 20:17:34,42.56,-114.46,53.01,38,1,10.29,clear sky,0.0,0.0
400,Fort Nelson,CA,2020-02-22 20:17:27,58.81,-122.7,37.4,32,20,19.46,few clouds,0.0,0.0
401,Asau,RO,2020-02-22 20:20:10,46.43,26.4,34.0,80,0,8.05,clear sky,0.0,0.0
402,Bowen,AU,2020-02-22 20:20:10,-20.02,148.23,75.99,94,90,4.7,overcast clouds,0.0,0.0
403,Kharovsk,RU,2020-02-22 20:20:10,59.96,40.19,33.76,83,100,20.98,overcast clouds,0.0,0.0
404,Aswan,EG,2020-02-22 20:20:11,24.09,32.91,64.4,31,1,13.87,clear sky,0.0,0.0
405,Anyang,CN,2020-02-22 20:20:11,36.1,114.33,42.33,46,0,12.21,clear sky,0.0,0.0
406,Warwick,US,2020-02-22 20:17:20,41.7,-71.42,48.2,26,5,11.41,clear sky,0.0,0.0
407,Kahului,US,2020-02-22 20:19:08,20.89,-156.47,75.2,64,40,23.06,scattered clouds,0.0,0.0
408,Yuzhou,CN,2020-02-22 20:20:11,34.16,113.46,41.0,56,5,2.24,clear sky,0.0,0.0
409,Berlevag,NO,2020-02-22 20:20:12,70.86,29.09,30.2,74,0,25.28,clear sky,0.0,0.0
410,Panacan,PH,2020-02-22 20:20:12,9.25,118.41,79.39,80,6,28.1,light rain,0.13,0.0
411,Trairi,BR,2020-02-22 20:20:12,-3.28,-39.27,73.02,96,100,1.9,light rain,0.19,0.0
412,Dingle,PH,2020-02-22 20:18:18,11.0,122.67,70.03,90,0,11.03,clear sky,0.0,0.0
413,Bonavista,CA,2020-02-22 20:20:13,48.65,-53.11,25.0,70,85,11.99,overcast clouds,0.0,0.0
414,Laukaa,RU,2020-02-22 20:20:13,58.74,29.85,38.16,90,100,21.14,light rain,1.44,0.0
415,Saint Anthony,US,2020-02-22 20:20:13,45.02,-93.22,46.0,52,1,10.29,clear sky,0.0,0.0
416,Talca,CL,2020-02-22 20:20:13,-35.43,-71.67,86.0,42,0,5.82,clear sky,0.0,0.0
417,Ribas Do Rio Pardo,BR,2020-02-22 20:20:13,-20.44,-53.76,76.78,77,68,8.61,broken clouds,0.0,0.0
418,Erenhot,CN,2020-02-22 20:20:14,43.65,111.98,20.79,70,91,15.39,overcast clouds,0.0,0.0
419,Charcas,MX,2020-02-22 20:20:14,23.13,-101.12,71.56,32,19,5.23,few clouds,0.0,0.0
420,Requena,ES,2020-02-22 20:20:14,39.49,-1.1,53.6,93,74,1.12,broken clouds,0.0,0.0
421,Caimito,CO,2020-02-22 20:20:14,8.81,-75.41,91.4,55,40,14.99,scattered clouds,0.0,0.0
422,Pevek,RU,2020-02-22 20:20:14,69.7,170.31,-12.15,98,100,10.78,light snow,0.0,0.13
423,Wuzhou,CN,2020-02-22 20:20:15,23.48,111.32,62.15,87,9,2.46,clear sky,0.0,0.0
424,Atbasar,KZ,2020-02-22 20:20:15,51.8,68.33,16.14,95,84,4.94,broken clouds,0.0,0.0
425,Nuuk,GL,2020-02-22 20:18:47,64.18,-51.72,14.0,72,90,13.87,light shower snow,0.0,0.0
426,Iralaya,HN,2020-02-22 20:20:15,15.0,-83.23,82.4,74,75,11.41,light rain,0.0,0.0
427,Allende,MX,2020-02-22 20:20:15,25.28,-100.02,60.8,48,40,5.82,scattered clouds,0.0,0.0
428,Yalvac,TR,2020-02-22 20:20:16,38.3,31.18,29.37,97,100,7.52,light snow,0.0,1.06
429,Paraiso,CR,2020-02-22 20:20:16,9.84,-83.87,82.4,44,20,20.8,few clouds,0.0,0.0
430,Shimoda,JP,2020-02-22 20:20:16,34.67,138.95,51.01,62,0,5.01,clear sky,0.0,0.0
431,Vangaindrano,MG,2020-02-22 20:20:16,-23.35,47.6,72.55,96,100,2.75,light rain,1.5,0.0
432,Hecun,CN,2020-02-22 20:20:17,36.53,114.11,39.07,41,0,4.05,clear sky,0.0,0.0
433,Mogadishu,SO,2020-02-22 20:18:05,2.04,45.34,81.72,85,0,23.51,clear sky,0.0,0.0
434,San Pedro De Uraba,CO,2020-02-22 20:20:17,8.28,-76.38,86.0,70,40,20.8,scattered clouds,0.0,0.0
435,Yilan,TW,2020-02-22 20:20:17,24.76,121.75,64.0,82,75,13.87,light intensity drizzle,0.0,0.0
436,Nsanje,MW,2020-02-22 20:20:17,-16.92,35.26,76.15,86,100,4.72,overcast clouds,0.0,0.0
437,Abalak,RU,2020-02-22 20:20:18,58.13,68.59,7.29,97,44,2.86,scattered clouds,0.0,0.0
438,Heishan,CN,2020-02-22 20:20:18,41.69,122.11,28.09,58,0,8.93,clear sky,0.0,0.0
439,Braganca,BR,2020-02-22 20:20:18,-1.05,-46.77,78.46,92,59,2.8,light rain,0.44,0.0
440,Lorengau,PG,2020-02-22 20:20:18,-2.02,147.27,82.4,75,52,7.67,broken clouds,0.0,0.0
441,Vestmannaeyjar,IS,2020-02-22 20:20:19,63.44,-20.27,34.2,60,100,5.57,overcast clouds,0.0,0.0
442,Edd,ER,2020-02-22 20:20:19,13.93,41.69,77.92,69,0,6.17,clear sky,0.0,0.0
443,Susangerd,IR,2020-02-22 20:17:13,31.56,48.18,60.8,72,0,2.24,clear sky,0.0,0.0
444,Nambucca Heads,AU,2020-02-22 20:20:19,-30.65,153.0,66.2,93,90,5.82,overcast clouds,0.0,0.0
445,Richards Bay,ZA,2020-02-22 20:20:19,-28.78,32.04,80.24,82,100,29.48,moderate rain,3.81,0.0
446,Korop,UA,2020-02-22 20:20:20,51.57,32.96,34.12,80,76,15.66,broken clouds,0.0,0.0
447,Ryotsu,JP,2020-02-22 20:20:20,38.08,138.43,41.0,80,75,12.75,light rain,0.0,0.0
448,Nouadhibou,MR,2020-02-22 20:20:20,20.93,-17.03,64.4,77,20,16.11,few clouds,0.0,0.0
449,Kungalv,SE,2020-02-22 20:20:20,57.87,11.98,42.01,74,20,21.92,few clouds,0.0,0.0
450,Kiunga,PG,2020-02-22 20:20:20,-6.12,141.29,73.89,99,99,2.42,light rain,0.13,0.0
451,Madisonville,US,2020-02-22 20:15:37,37.33,-87.5,51.8,27,1,6.93,clear sky,0.0,0.0
452,Rocha,UY,2020-02-22 20:20:21,-34.48,-54.33,64.8,60,32,9.98,scattered clouds,0.0,0.0
453,Perelyub,RU,2020-02-22 20:20:21,51.87,50.37,17.17,91,0,7.63,clear sky,0.0,0.0
454,Corinto,GR,2020-02-22 20:20:22,37.94,22.96,46.4,81,40,3.36,scattered clouds,0.0,0.0
455,Lasa,IT,2020-02-22 20:20:22,46.62,10.7,42.8,69,5,8.05,clear sky,0.0,0.0
456,Port Moresby,PG,2020-02-22 20:20:22,-9.44,147.18,78.8,88,40,3.36,scattered clouds,0.0,0.0
457,Slonim,BY,2020-02-22 20:20:22,53.09,25.32,42.78,60,100,16.04,overcast clouds,0.0,0.0
458,Port Augusta,AU,2020-02-22 20:20:23,-32.5,137.77,62.01,87,0,5.82,clear sky,0.0,0.0
459,Camacha,PT,2020-02-22 20:19:33,33.08,-16.33,64.4,88,40,27.51,scattered clouds,0.0,0.0
460,Amapa,BR,2020-02-22 20:20:23,1.0,-52.0,78.84,86,65,2.82,light rain,1.63,0.0
461,Suntar,RU,2020-02-22 20:20:23,62.14,117.63,-5.48,97,90,1.28,overcast clouds,0.0,0.0
462,Mayo,US,2020-02-22 20:20:23,38.89,-76.51,55.99,15,1,8.05,clear sky,0.0,0.0
463,Murakami,JP,2020-02-22 20:20:24,38.23,139.48,38.89,60,100,26.84,light snow,0.0,1.38
464,Quatre Cocos,MU,2020-02-22 20:20:24,-20.21,57.76,77.0,88,40,2.24,scattered clouds,0.0,0.0
465,Arman,RU,2020-02-22 20:20:24,59.7,150.17,0.1,96,100,5.19,light snow,0.0,0.19
466,Cross Lanes,US,2020-02-22 20:15:36,38.42,-81.79,53.01,15,1,7.31,clear sky,0.0,0.0
467,Lowestoft,GB,2020-02-22 20:20:24,52.48,1.75,50.0,66,100,14.99,overcast clouds,0.0,0.0
468,Torbay,CA,2020-02-22 20:18:41,47.67,-52.73,26.01,62,20,18.34,few clouds,0.0,0.0
