City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Bredasdorp,ZA,2020-02-16 22:01:44,-34.53,20.04,68.0,68,2,8.05
70,Saint George,US,2020-02-16 21:58:09,37.1,-113.58,60.8,23,1,10.29
71,Lorengau,PG,2020-02-16 22:02:10,-2.02,147.27,83.21,79,47,11.12
72,Manaure,CO,2020-02-16 22:03:25,11.78,-72.44,93.2,44,0,9.17
73,Victoria,HK,2020-02-16 21:59:02,22.29,114.16,51.8,61,20,12.75
74,Cockburn Town,TC,2020-02-16 22:04:53,21.46,-71.14,80.6,65,40,14.99
75,Sao Miguel Do Araguaia,BR,2020-02-16 22:00:21,-13.28,-50.16,82.33,83,70,1.54
76,Bluff,NZ,2020-02-16 22:01:53,-46.6,168.33,69.01,77,57,4.0
77,Luderitz,NA,2020-02-16 22:02:58,-26.65,15.16,68.0,82,3,2.24
78,Mon,IN,2020-02-16 22:04:53,26.75,95.1,50.95,91,26,3.62
79,Puerto Ayora,EC,2020-02-16 22:02:30,-0.74,-90.35,86.0,66,20,19.46
80,Valleyview,CA,2020-02-16 22:04:54,55.07,-117.29,6.28,87,100,3.44
81,Yellowknife,CA,2020-02-16 22:00:31,62.46,-114.35,-23.01,67,20,10.29
82,Acapulco,MX,2020-02-16 22:00:45,16.86,-99.89,87.8,66,5,6.93
83,Bitung,ID,2020-02-16 22:04:54,1.45,125.18,73.4,100,40,2.24
84,Port Blair,IN,2020-02-16 22:02:31,11.67,92.75,78.6,61,0,10.38
85,Praya,CV,2020-02-16 22:03:38,14.92,-23.51,77.0,47,75,18.34
86,Gaziantep,TR,2020-02-16 22:04:55,37.06,37.38,41.0,78,75,4.7
87,Xinzhi,CN,2020-02-16 22:04:15,36.5,111.7,25.21,38,0,4.38
88,Upernavik,GL,2020-02-16 22:02:28,72.79,-56.15,0.3,93,100,8.5
89,Emerald,AU,2020-02-16 22:04:10,-23.53,148.17,80.6,88,75,9.17
90,Praia Da Vitoria,PT,2020-02-16 22:04:56,38.73,-27.07,55.4,66,40,15.7
91,Kodiak,US,2020-02-16 22:02:16,57.79,-152.41,28.4,68,1,4.7
92,Cabo San Lucas,MX,2020-02-16 22:00:12,22.89,-109.91,80.6,56,90,2.24
93,Port-Gentil,GA,2020-02-16 22:02:33,-0.72,8.78,82.4,88,20,4.7
94,Mansehra,PK,2020-02-16 22:04:57,34.33,73.2,44.47,37,0,6.62
95,Ivdel,RU,2020-02-16 22:04:57,60.69,60.42,14.74,90,97,2.82
96,Butaritari,KI,2020-02-16 22:01:52,3.07,172.79,82.81,77,40,21.0
97,Avarua,CK,2020-02-16 22:01:59,-21.21,-159.78,78.8,88,100,8.05
98,Katastarion,GR,2020-02-16 22:04:57,37.83,20.77,48.2,70,20,3.36
99,Portland,US,2020-02-16 21:59:56,45.52,-122.68,50.0,66,75,8.05
100,Nikolskoye,RU,2020-02-16 22:01:50,59.7,30.79,37.4,86,90,13.42
101,Coihaique,CL,2020-02-16 22:03:04,-45.58,-72.07,55.4,54,75,12.75
102,Souillac,MU,2020-02-16 22:02:27,-20.52,57.52,77.0,69,20,5.82
103,Deputatskiy,RU,2020-02-16 22:02:13,69.3,139.9,-3.75,94,94,2.8
104,Raymond Terrace,AU,2020-02-16 22:04:59,-32.75,151.75,73.4,88,90,5.82
105,Pyaozerskiy,RU,2020-02-16 22:04:59,65.83,31.17,34.86,97,100,21.85
106,Faanui,PF,2020-02-16 22:02:59,-16.48,-151.75,82.45,76,100,17.81
107,Kensington,AU,2020-02-16 22:02:08,-33.92,151.22,72.0,88,75,4.63
108,Khani,GE,2020-02-16 22:04:03,41.96,42.96,35.6,80,0,4.7
109,Bambous Virieux,MU,2020-02-16 22:02:02,-20.34,57.76,77.0,69,20,5.82
110,Lata,PT,2020-02-16 22:02:45,40.16,-8.33,61.0,82,90,4.7
111,Thompson,CA,2020-02-16 22:00:26,55.74,-97.86,-9.4,63,75,6.93
112,Karasjok,NO,2020-02-16 22:05:00,69.47,25.51,30.2,80,75,23.04
113,Bambari,CF,2020-02-16 22:05:00,5.77,20.68,78.8,21,98,2.98
114,Mahebourg,MU,2020-02-16 22:02:05,-20.41,57.7,77.0,69,20,5.82
115,Tizayuca,MX,2020-02-16 22:05:01,19.83,-98.98,80.01,15,40,11.41
116,Jeremoabo,BR,2020-02-16 22:02:49,-10.07,-38.48,79.52,59,98,8.99
117,Klyuchi,RU,2020-02-16 22:01:46,52.27,79.17,22.77,88,100,13.82
118,Huambo,AO,2020-02-16 22:05:01,-12.78,15.74,61.48,96,100,4.68
119,Carnarvon,AU,2020-02-16 22:01:38,-24.87,113.63,71.6,83,0,14.99
120,Tepechitlan,MX,2020-02-16 22:05:04,21.67,-103.33,78.01,25,64,5.95
121,Hay River,CA,2020-02-16 22:00:26,60.82,-115.8,-20.2,68,75,11.41
122,Muros,ES,2020-02-16 22:04:01,42.78,-9.06,63.0,100,90,18.34
123,Portknockie,GB,2020-02-16 22:05:04,57.7,-2.86,42.8,64,20,27.51
124,San Francisco Menendez,SV,2020-02-16 22:05:05,13.84,-90.02,93.2,18,0,2.24
125,Kaitangata,NZ,2020-02-16 22:01:44,-46.28,169.85,57.69,88,0,1.36
126,Hithadhoo,MV,2020-02-16 22:01:57,-0.6,73.08,82.78,75,22,6.06
127,Dunedin,NZ,2020-02-16 22:00:00,-45.87,170.5,60.21,84,43,5.57
128,Ponta Do Sol,PT,2020-02-16 22:01:54,32.67,-17.1,64.4,72,40,8.05
129,Saint-Georges,GD,2020-02-16 22:00:09,12.06,-61.75,80.6,78,40,8.05
130,Batemans Bay,AU,2020-02-16 22:03:23,-35.72,150.18,68.0,80,83,1.01
131,Tusnad,RO,2020-02-16 22:05:07,46.2,25.9,30.99,92,0,1.3
132,San Lorenzo,PY,2020-02-16 22:05:07,-25.33,-57.53,82.4,78,40,11.41
133,Vardo,NO,2020-02-16 22:02:39,70.37,31.11,32.0,96,90,20.8
134,Motygino,RU,2020-02-16 22:05:07,58.18,94.76,15.66,96,100,2.3
135,San Juan,AR,2020-02-16 22:05:07,-31.54,-68.54,100.18,22,0,11.88
136,Provideniya,RU,2020-02-16 22:04:04,64.38,-173.3,3.2,91,90,31.32
137,Harnosand,SE,2020-02-16 22:05:08,62.63,17.94,42.8,75,67,17.22
138,Clyde River,CA,2020-02-16 22:02:39,70.47,-68.59,-16.6,75,90,4.7
139,Port Alfred,ZA,2020-02-16 22:02:07,-33.59,26.89,70.0,96,78,5.99
140,Hofn,IS,2020-02-16 22:01:55,64.25,-15.21,39.69,54,27,6.64
141,Port Lincoln,AU,2020-02-16 22:02:20,-34.73,135.87,64.31,81,0,6.69
142,Ancud,CL,2020-02-16 22:02:01,-41.87,-73.82,59.0,72,20,6.93
143,Vao,NC,2020-02-16 22:05:09,-22.67,167.48,78.15,78,0,16.44
144,Bisho,ZA,2020-02-16 22:05:10,-32.85,27.44,75.36,71,40,3.78
145,Hermanus,ZA,2020-02-16 22:01:43,-34.42,19.23,66.99,78,0,20.76
146,Ajdabiya,LY,2020-02-16 22:05:10,30.76,20.23,58.98,66,0,15.64
147,Azul,AR,2020-02-16 22:05:10,-36.78,-59.86,88.0,58,0,7.74
148,Daru,PG,2020-02-16 22:05:10,-9.08,143.21,75.69,95,5,3.71
149,Ostrovnoy,RU,2020-02-16 22:02:23,68.05,39.51,31.75,85,100,27.45
150,Karratha,AU,2020-02-16 22:05:11,-20.74,116.85,82.6,82,0,14.74
151,Lebu,CL,2020-02-16 22:00:40,-37.62,-73.65,67.77,58,0,8.66
152,Buala,SB,2020-02-16 22:03:27,-8.14,159.59,79.65,84,100,13.02
153,Mandera,KE,2020-02-16 22:05:11,3.94,41.87,79.0,27,83,1.99
154,Cabedelo,BR,2020-02-16 22:05:12,-6.98,-34.83,82.4,74,20,12.75
155,Norman Wells,CA,2020-02-16 22:01:51,65.28,-126.83,-34.6,65,5,3.36
156,Shar,KZ,2020-02-16 22:05:12,49.59,81.05,20.39,85,100,9.19
157,Arlit,NE,2020-02-16 22:03:26,18.74,7.39,73.06,15,42,15.79
158,Hyeres,FR,2020-02-16 22:05:13,43.12,6.12,55.4,87,90,12.19
159,Leningradskiy,RU,2020-02-16 22:02:03,69.38,178.42,-23.53,96,96,6.98
160,Mar Del Plata,AR,2020-02-16 22:02:36,-38.0,-57.56,77.0,47,20,8.05
161,Palana,RU,2020-02-16 22:05:13,59.12,159.97,-12.5,90,0,2.42
162,Vostok,RU,2020-02-16 22:02:10,46.49,135.88,6.84,93,100,7.78
163,Meadow Lake,US,2020-02-16 22:05:14,34.8,-106.54,66.99,16,1,17.22
164,Hammerfest,NO,2020-02-16 22:05:14,70.66,23.68,30.2,79,75,28.86
165,Ossora,RU,2020-02-16 22:05:14,59.24,163.07,-9.67,67,0,4.68
166,Lagoa,PT,2020-02-16 22:03:29,39.05,-27.98,55.89,63,100,14.36
167,Maltahohe,NA,2020-02-16 22:05:14,-24.83,16.98,73.76,45,100,4.32
168,Kiama,AU,2020-02-16 22:01:55,-34.68,150.87,70.0,100,75,8.05
169,Quang Ngai,VN,2020-02-16 22:05:15,15.12,108.8,71.1,88,100,21.65
170,Madiun,ID,2020-02-16 22:05:15,-7.63,111.52,74.23,91,98,0.87
171,Severo-Kurilsk,RU,2020-02-16 22:02:00,50.68,156.12,18.36,93,72,9.95
172,Agvali,RU,2020-02-16 22:05:16,42.54,46.12,8.51,74,54,4.07
173,Mayor Pablo Lagerenza,PY,2020-02-16 22:05:16,-19.93,-60.77,99.77,32,100,14.23
174,Lokosovo,RU,2020-02-16 22:05:17,61.13,74.82,11.17,96,21,3.96
175,Tahlequah,US,2020-02-16 22:01:31,35.92,-94.97,61.0,67,90,5.82
176,Preobrazheniye,RU,2020-02-16 22:05:17,42.9,133.91,15.76,81,100,14.54
177,Narsaq,GL,2020-02-16 22:02:04,60.92,-46.05,21.2,67,14,4.76
178,Bagamoyo,TZ,2020-02-16 22:05:17,-6.43,38.9,82.4,83,20,4.72
179,San Patricio,MX,2020-02-16 22:03:28,19.22,-104.7,86.0,70,20,11.41
180,Nalut,LY,2020-02-16 22:05:18,30.33,10.85,51.98,44,0,10.85
181,Dikson,RU,2020-02-16 22:02:16,73.51,80.55,14.02,93,100,17.45
182,Husavik,IS,2020-02-16 22:02:02,66.04,-17.34,33.8,97,90,36.91
183,Trinidad,BO,2020-02-16 22:05:18,-14.83,-64.9,91.4,63,75,9.17
184,Hauterive,FR,2020-02-16 22:05:19,46.09,3.45,55.0,66,100,21.92
185,Lekoni,GA,2020-02-16 22:05:19,-1.58,14.26,80.56,62,97,5.26
186,Seminole,US,2020-02-16 22:05:19,28.71,-81.21,82.4,61,75,9.17
187,Atar,MR,2020-02-16 22:02:38,20.52,-13.05,79.27,12,100,10.83
188,Khorramshahr,IR,2020-02-16 22:05:19,30.44,48.17,64.4,72,75,11.41
189,Rodrigues Alves,BR,2020-02-16 22:05:20,-7.74,-72.65,87.8,62,75,3.36
190,Hoquiam,US,2020-02-16 22:05:20,46.98,-123.89,48.0,93,75,8.05
